,SUBURB,Mean House Price,Median House Price,Variance House Price,Standard Deviation House Price,SEM House Price,Mean BATHROOMS,Mean BEDROOMS,Mean GARAGE,Mean LAND_AREA,Mean BUILD_YEAR,Mean CBD_DIST,Mean STATION DISTANCE,Mean SELL DATE,Lat_precise,Long_precise,state,postcode
118,FORRESTDALE,663643.05,482500,1.82104E+11,426737.0305,55091.51374,1.566666667,3.783333333,2.383333333,9635.2,1985,23650,6835,2013,-32.1477898,115.9369583,WA,6112
119,FORRESTFIELD,420805.0847,417500,11128230914,105490.4304,9711.181269,1.63559322,3.559322034,1.728813559,913.1271186,1992,14312.71186,7777.966102,2019,-31.9831525,116.0000104,WA,6058
120,FREMANTLE,859845.0704,805000,73141654225,270447.1376,32096.17024,1.577464789,3.098591549,1.774647887,566.6760563,1967,14718.30986,1653.070423,2019,-32.0539328,115.7604781,WA,6160
121,FREMANTLE,859845.0704,805000,73141654225,270447.1376,32096.17024,1.577464789,3.098591549,1.774647887,566.6760563,1967,14718.30986,1653.070423,2019,-32.0518191,115.7551085,WA,6959
122,GIDGEGANNUP,792695.4023,775000,49023316025,221412.0955,23737.86829,1.954022989,3.862068966,2.942528736,73836.6092,1995,35675.86207,20721.83908,2015,-31.7930685,116.1965988,WA,6083
123,GIRRAWHEEN,318997.8723,321000,3688446662,60732.5832,6264.087665,1.170212766,3.223404255,1.691489362,1253.351064,1976,12518.08511,4159.574468,2017,-31.8406834,115.8403151,WA,6064
124,GLEN FORREST,631721.5827,590000,33698082429,183570.3746,15570.23595,1.748201439,3.647482014,2.647482014,4043.489209,1981,23592.08633,9948.920863,2015,-31.910937,116.1042495,WA,6071
125,GLENDALOUGH,480360,430000,56030656667,236707.9565,47341.5913,1.28,2.64,1.48,4996.84,1987,5176,623.56,2015,-31.9192332,115.8200294,WA,6016
126,GNANGARA,808208.3333,850000,2.18818E+11,467779.5202,46317.07426,2.176470588,4.352941176,2.588235294,14153.13725,1995,19407.84314,7440.196078,2007,-31.7756709,115.8656825,WA,6065
127,GNANGARA,808208.3333,850000,2.18818E+11,467779.5202,46317.07426,2.176470588,4.352941176,2.588235294,14153.13725,1995,19407.84314,7440.196078,2007,-31.7757,115.866,WA,6077
