,SUBURB,r2 Score
70,Hopeland,-1.3820747293441924
71,Winthrop,-0.21410465352028574
72,West Swan,-0.7693024621121107
73,Como,0.28528014084817843
74,Gooseberry Hill,0.6248096370638934
75,Darlington,0.4364149909429984
76,Wembley,-0.12822343044346995
77,Yokine,0.7053400173775345
78,Daglish,0.05345053520827203
79,Wattle Grove,0.5601972632628734
80,Iluka,0.5619593072767414
81,Lathlain,0.254774871485567
82,Fremantle,0.4614449279184434
83,Highgate,-0.6977258201048417
84,Alfred Cove,0.4458776334686192
85,Waterford,0.22920034574073977
86,Burns Beach,0.7053109396624545
87,Bedfordale,0.06416512863847623
88,Jolimont,0.49092578778326645
89,Burswood,0.741190188725722
90,Karnup,-0.413427344104794
91,Shelley,0.7213607307484924
92,North Perth,0.3197251692766534
93,Mullaloo,0.5131233438746359
94,Serpentine,0.46590879267585616
95,Pickering Brook,-0.606666055103241
96,Wanneroo,0.797489491189064
97,Mundaring,0.4331149077613813
98,Kensington,0.2776712831649475
99,Herne Hill,0.14463540228109528
100,Stirling,0.7364204945463723
101,Gidgegannup,0.26703398861301697
102,Jarrahdale,0.7749278364706801
103,Anketell,0.0687399728777498
104,Booragoon,0.4585558855942705
105,Scarborough,0.6525121923089028
106,Connolly,0.5707367718730085
107,Inglewood,0.6856627656194838
108,Caversham,0.677236535268145
109,Banjup,0.5230906428517903
110,Leederville,0.09579645928569458
111,Maida Vale,0.8143330819054593
112,Casuarina,-0.2501979784782573
113,Carmel,-1.0059997109826941
114,Gwelup,0.40584357466711585
115,Bullsbrook,0.3255610008506531
116,Parkerville,0.6801768799945948
117,Maddington,0.38967565146079186
118,Mahogany Creek,0.017512826900721423
119,The Vines,0.6466799732520233
120,Ocean Reef,0.7328463032529733
121,Wattleup,0.22776028339025134
122,Carabooda,-1.1714782694299246
123,Cardup,0.1725130747096879
124,Mardella,0.09297758079103013
125,Glen Forrest,0.4491912604656736
126,Kardinya,0.4799100578638461
127,Helena Valley,0.11962879472717936
128,Bassendean,0.5622221799488576
129,Jandabup,-1.4535546486103708
130,Bateman,0.46423603791600443
131,Oakford,-0.01862679227676911
132,Manning,0.678901348384964
133,Dianella,0.5087581641627735
134,Belhus,-0.45765692045737927
135,Karawara,0.18286470454008874
136,Karragullen,-0.35499261566395446
137,Duncraig,0.757385125571961
138,Rockingham,0.40602309688625626
139,Warnbro,0.7362469559667744
140,Shoalwater,0.39877834468294526
141,Roleystone,0.3515279081243572
142,Hovea,-0.24900864321734528
143,Ashfield,0.5628457423784339
144,Haynes,0.6590292435479879
145,Melville,0.8183603216181623
146,Bull Creek,0.527055311241748
147,Myaree,0.658707480291181
148,Northbridge,-7.626214678418288
149,Carine,0.45646976031632747
150,Palmyra,0.3324566069083822
151,Jandakot,0.5302225493508187
152,Victoria Park,0.5444871817634576
153,Millendon,-1.6053939340355945
154,Neerabup,0.9500151420040974
155,Kalamunda,0.3710390620822063
156,Riverton,0.5959357726962798
157,Joondanna,-1.0207832149803795
158,Lesmurdie,0.8247223383305011
159,Southern River,0.6289384318953108
160,White Gum Valley,0.5720278005911452
161,Wandi,0.6177448462096471
162,Willetton,0.2673313794976645
163,Stoneville,0.8470296490160281
164,Harrisdale,0.8055076795600834
165,Canning Vale,-3.3766570347041904
166,Waikiki,0.6643439252301473
167,Murdoch,0.7084761173984726
168,Greenmount,0.5877455225118422
169,Carramar,0.7028386898819485
170,Wungong,-2.2247030077432455
171,Bedford,-0.8446463121607406
172,Jindalee,0.30632325559899043
173,North Lake,-0.2037486535377786
174,Bibra Lake,0.6612256441104175
175,Woodbridge,0.45054846382070424
176,East Victoria Park,0.17218204664646075
177,South Guildford,0.38087803002660303
178,Mount Helena,0.5477805839645433
179,Dayton,0.6560522791948775
180,Glendalough,-0.8867516516028211
181,Safety Bay,0.49000645983317304
182,Sawyers Valley,0.07071598116120559
183,Middle Swan,0.5934867853777359
184,East Cannington,-0.04563279245187335
185,Tuart Hill,0.650802559609094
186,Bellevue,-60.169560980574495
187,Secret Harbour,0.7299668174893732
188,Leeming,0.5815118090297565
189,Willagee,-1.6062724299024298
190,Baldivis,0.2968273686240057
191,Quinns Rocks,0.7618598815694514
192,Wooroloo,0.023642875056736345
193,Atwell,0.6226488595367334
194,East Perth,-10.016144790884795
195,Forrestfield,0.79998721414347
196,Byford,0.8531793840331389
197,Kelmscott,0.5447303342476023
198,Pearsall,0.09862462260290583
199,Mount Richon,0.5888888593345246
200,Embleton,-0.08188161430232999
201,Two Rocks,0.7817148523965842
202,Cockburn Central,-0.1314732143050279
203,Beeliar,0.6908888235323671
204,Bayswater,0.5005890359204754
205,Wilson,0.5670138373592502
206,Osborne Park,-0.870222975439491
207,Viveash,0.7834898479317696
208,Golden Bay,0.6288763725392605
209,Rivervale,0.3119844179954092
210,Kewdale,0.7705335608749537
211,Edgewater,0.37542925783028136
212,Hammond Park,0.4472917546742522
213,Hamersley,0.5265339200066161
214,Chidlow,0.4895746774896741
215,Hilton,0.35402955380759393
216,Boya,0.05799979852585835
217,Eglinton,-1.2243648102113247
218,Wellard,0.7759870382699067
219,Woodvale,0.4709413722038144
220,Carlisle,0.3639748195728538
221,Hilbert,0.42750173390336244
222,Hope Valley,-3.4266226891745406
223,Balcatta,0.8102328846050293
224,Kingsley,0.4767138930847419
225,Innaloo,0.5577147303282124
226,Yangebup,0.624071534361751
227,Madeley,0.5368329297692229
228,Darch,0.403012923959444
229,Mundijong,0.24628070017278225
230,Belmont,-9.858042443172202
231,Landsdale,0.5116919228957046
232,Currambine,0.635095600375235
233,Warwick,0.6208786296604432
234,St James,0.16125168929590805
235,Ellenbrook,0.6496676509258565
236,Ballajura,0.5773548357934186
237,Joondalup,0.7084723665987047
238,Spearwood,0.6413940429000495
239,Brabham,0.8072970884646637
240,Success,0.29675212967461073
241,Bentley,0.37820890926335604
242,Cannington,0.5010075221991113
243,Noranda,0.5630050122000747
244,Swan View,0.7054208011775775
245,Mount Nasura,0.47865813841867966
246,Piara Waters,0.6655908828055082
247,Redcliffe,0.3546859904179186
248,Samson,0.3309581163379385
249,Cloverdale,-2.25797225329351
250,Queens Park,0.4984941655789735
251,Aubin Grove,0.20855487023342634
252,Singleton,0.3320509983089708
253,Padbury,0.4752801442696786
254,Greenwood,0.3480612442228551
255,Banksia Grove,0.6505941367041801
256,Jane Brook,-1.9162126587550676
257,Yanchep,0.6498893868206866
258,Tapping,0.5865648187666606
259,Parkwood,0.1718230603692651
